,state,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,408917,3473558,0.117722808,145,580,0.25,,0,,0,,,,,,,,,,,,,,,,35.45951868,14.19415847
1,Alaska,70067,478581,0.146405729,29,135,0.214814815,28,0.965517241,1,0.034482759,1,,,1,,,5,,,5,,,11,,6,41.38895628,25.94770314
2,Arizona,558906,4521911,0.123599514,225,979,0.229826353,,0,,0,,,,,,,,,,,,,,,,40.25721678,19.02596641
3,Arkansas,258170,2110583,0.122321652,90,376,0.239361702,88,0.977777778,2,0.022222222,,,9,,,,,,25,,,,,,39,34.86075067,15.43932158
4,California,2142367,26789221,0.079971232,665,3334,0.199460108,655,0.984962406,10,0.015037594,20,,,,,95,,,,,,238,,,312,31.04043332,10.82896827
5,Colorado,416250,3558782,0.116964175,148,730,0.202739726,140,0.945945946,8,0.054054054,3,,,6,,,24,,,28,,,32,,55,35.55555556,18.52009781
6,Connecticut,260131,2680115,0.097059641,44,292,0.150684932,,0,,0,,,,,,,,,,,,,,,,16.91455459,10.24800164
7,Delaware,79438,647164,0.122747866,16,91,0.175824176,15,0.9375,1,0.0625,1,,,1,,,1,,,1,,,3,,9,20.141494,13.21059807
8,Florida*,1747213,14016217,0.124656532,562,2440,0.230327869,,0,,0,,,,,,,,,,,,,,,,32.16551159,15.30686599
9,Georgia,732779,6850347,0.106969618,97,923,0.105092091,,0,,0,1,,,13,,,25,,,30,,,27,,1,13.23727891,13.50209757
10,Hawaii,117468,950715,0.123557533,21,120,0.175,,0,,0,,,,,,,,,,,,,,,,17.87720911,11.8812309
11,Idaho,133128,1066418,0.124836603,53,222,0.238738739,53,1,0,0,2,,,4,,,,,16,,,,9,,22,39.81130942,18.10798358
12,Illinois,845481,9597260,0.088096082,186,1010,0.184158416,,0,,0,3,,,15,,,21,,,38,,,40,,69,21.99931163,9.415228607
13,Indiana,513266,4728420,0.108549156,108,824,0.131067961,107,0.990740741,1,0.009259259,,1,,,8,,,13,,,28,,,57,,21.04172106,16.98633075
14,Iowa,253158,2265619,0.111738999,63,334,0.188622754,,0,,0,,,,,,,,,,,,,,,,24.88564454,13.46609947
15,Kansas,234507,2053186,0.11421615,94,379,0.248021108,93,0.989361702,1,0.010638298,1,,,10,,,20,,,14,,,15,,34,40.08409131,15.67071484
16,Kentucky,340830,3192332,0.106765211,34,622,0.054662379,,0,,0,,,,,,,,,,,,,,,,9.975647684,20.62071147
17,Louisiana,324880,3183547,0.102049695,81,492,0.164634146,,0,,0,,9,,,7,,,7,,,20,,,38,,24.93228269,14.37733041
18,Maine,142205,1035232,0.137365344,43,158,0.272151899,,0,,0,,,,,,,,,,,,,,,,30.23803664,12.87755017
19,Maryland,475371,4230839,0.112358565,91,495,0.183838384,,0,,0,4,,,7,,,5,,,13,,,21,,41,19.14294309,10.75764725
20,Massachusetts,453873,4983228,0.091080119,30,450,0.066666667,30,1,0,0,0,,,0,,,0,,,3,,,13,,14,6.609778506,9.272843484
21,Michigan,765929,7613279,0.100604352,258,1139,0.226514486,250,0.968992248,8,0.031007752,3,,,12,,,40,,,56,,,59,,88,33.68458434,12.86629134
22,Minnesota,410003,3905954,0.104968722,113,554,0.203971119,107,0.946902655,6,0.053097345,2,,,8,,,15,,,23,,,16,,49,27.56077395,12.61459328
23,Mississippi,212612,2140412,0.099332278,65,325,0.2,63,0.969230769,2,0.030769231,0,,,1,,,6,,,8,,,16,,34,30.57212199,13.48687623
24,Missouri***,526916,4403875,0.119648264,180,799,0.225281602,177,0.983333333,3,0.016666667,6,,,12,,,24,,,33,,,33,,72,34.16104275,15.9661219
25,Montana,102845,722684,0.142309779,54,189,0.285714286,54,1,0,0,2,,,,,8,,,,,,20,,,24,52.50619865,21.77984928
26,Nebraska,151844,1316899,0.115304211,5,202,0.024752475,,0,,0,,,,,,,,,,,,,,,,3.292853191,16.90907296
27,Nevada,236901,1852592,0.127875431,107,486,0.220164609,,0,,0,3,,,2,,,7,,,20,,,30,,48,45.16654636,23.45745566
28,New Hampshire,130690,1015927,0.128641133,33,151,0.218543046,31,0.939393939,2,0.060606061,,,,,,,,,,,,,,,,25.25059301,13.32976367
29,New Jersey,527080,6628089,0.079522167,93,585,0.158974359,92,0.989247312,1,0.010752688,2,,,6,,,13,,,10,,,21,,41,17.64438036,8.064239866
30,New Mexico,176274,1436320,0.122726133,76,352,0.215909091,74,0.973684211,2,0.026315789,2,,,4,,,6,,,11,,,17,,36,43.11469644,21.90396224
31,New York,1098766,14768694,0.074398318,216,1326,0.162895928,213,0.986111111,3,0.013888889,2,,,9,,,4,,,20,,,45,,136,19.65841681,8.120013507
32,North Carolina,752508,6625708,0.113573976,200,1106,0.180831826,194,0.97,6,0.03,7,,,9,,,17,,,49,,,41,,77,26.57779054,15.42600286
33,North Dakota**,57536,487103,0.118118755,18,90,0.2,18,1,0,0,2,,,2,,,1,,,5,,,4,,4,31.28476085,16.76106405
34,Ohio,961616,8696516,0.110574855,251,1325,0.189433962,246,0.980079681,5,0.019920319,6,,,16,,,29,,,32,,,58,,110,26.10189514,13.8851181
35,Oklahoma,333358,2668872,0.124905953,113,537,0.210428305,,0,,0,4,,,7,,,14,,,18,,,25,,45,33.89749159,18.15446193
36,Oregon,350730,2839640,0.123512135,143,579,0.246977547,136,0.951048951,7,0.048951049,2,,,6,,,12,,,32,,,25,,59,40.7721039,17.51770856
37,Pennsylvania,1073558,9625288,0.111535156,309,1396,0.221346705,305,0.987055016,4,0.012944984,6,,,19,,,32,,,50,,,69,,133,28.78279515,12.71087838
38,Rhode Island,82129,827561,0.099242231,21,90,0.233333333,,0,,0,,,,,,,,,,,,,,,,25.56953086,9.25637751
39,South Carolina,398128,3252620,0.122402248,118,524,0.22519084,114,0.966101695,4,0.033898305,5,,,15,,,12,,,17,,,22,,47,29.63870916,14.22319628
40,South Dakota,73535,585507,0.125592008,26,125,0.208,,0,,0,,,,,,,,,,,,,,,,35.35731284,19.33699499
41,Tennessee,502295,4578718,0.109702104,150,874,0.171624714,147,0.98,3,0.02,1,,,9,,,18,,,36,,,34,,52,29.86292916,17.7606691
42,Texas,1660455,16924145,0.098111603,454,2347,0.193438432,447,0.984581498,7,0.015418502,,31,,,38,,,64,,,92,,,229,,27.34190327,12.40198143
43,Utah,154774,1753636,0.088258909,63,362,0.174033149,61,0.968253968,2,0.031746032,5,,,0,,,9,,,7,,,16,,22,40.70451109,18.70080094
44,Vermont,55512,489177,0.113480397,16,81,0.197530864,16,1,0,0,0,,,0,,,3,,,3,,,6,,4,28.82259692,14.98852801
45,Virginia,771782,5732436,0.134634211,178,876,0.203196347,172,0.966292135,6,0.033707865,5,,,5,,,19,,,39,,,33,,77,23.06350757,14.07072535
46,Washington,629296,4827071,0.130368084,200,809,0.247218789,194,0.97,6,0.03,7,,,9,,,17,,,49,,,41,,77,31.78154636,14.50768562
47,West Virginia,178121,1426759,0.124843088,56,269,0.208178439,56,1,0,0,0,,,3,,,3,,,13,,,13,,24,31.4393025,17.05858704
