,state,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,395753,3662910,0.108043332,163,680,0.239705882,,0,,0,,,,,,,,,,,,,,,,41.18730622,15.82415537
1,Alaska,72407,517799,0.139836114,27,142,0.190140845,24,0.888888889,3,0.111111111,4,,,5,,,3,,,4,,,5,,6,37.28921237,25.81995186
2,Arizona,533608,4842927,0.110182953,242,1091,0.221814849,,0,,0,,,,,,,,,,,,,,,,45.3516439,19.7014888
3,Arkansas,238790,2221409,0.107494838,89,447,0.199105145,89,1,0,0,,,11,,,,,,31,,,,14,,33,37.27124251,18.0569237
4,California,1910994,28292703,0.067543706,706,3923,0.179964313,679,0.961756374,27,0.038243626,20,,,,,80,,,,,,250,,,356,36.94412437,12.1940546
5,Colorado,411754,3857537,0.10674013,170,879,0.193401593,166,0.976470588,4,0.023529412,8,,,14,,,25,,,28,,,37,,58,41.28678774,20.57587492
6,Connecticut,225987,2768440,0.081629726,54,364,0.148351648,,0,,0,,,,,,,,,,,,,,,,23.89517981,12.19294909
7,Delaware,77885,699180,0.111394777,17,116,0.146551724,15,0.882352941,2,0.117647059,1,,,2,,,2,,,3,,,4,,5,21.82705271,15.93445948
8,Florida*,1571482,15012091,0.104681087,642,2789,0.230190032,,0,,0,,,,,,,,,,,,,,,,40.85315645,15.97397856
9,Georgia,686591,7279776,0.094314853,218,1133,0.192409532,,0,,0,12,,,20,,,22,,,37,,,50,,77,31.7510716,13.87796642
10,Hawaii,109218,1034113,0.10561515,27,207,0.130434783,,0,,0,,,,,,,,,,,,,,,,24.7211998,19.46166862
11,Idaho,121382,1155068,0.105086454,68,290,0.234482759,67,0.985294118,1,0.014705882,4,,,3,,,,,22,,,,17,,22,56.02148589,21.47654123
12,Illinois,719528,9752324,0.073780157,191,1183,0.161453931,,0,,0,,,,,,,,,,,,,,,,26.54517962,10.98220307
13,Indiana,458943,4915722,0.093362277,164,861,0.19047619,162,0.987804878,2,0.012195122,,7,,,11,,,22,,,36,,,62,,35.73428509,15.6390972
14,Iowa,226737,2336891,0.097025064,83,370,0.224324324,,0,,0,,,,,,,,,,,,,,,,36.60628834,13.60090306
15,Kansas,210240,2132796,0.098574829,72,400,0.18,70,0.972222222,2,0.027777778,6,,,6,,,4,,,9,,,16,,31,34.24657534,17.06062138
16,Kentucky,311073,3330313,0.093406536,124,641,0.193447738,,0,,0,,,,,,,,,,,,,,,,39.86202596,17.12351453
17,Louisiana,312953,3442258,0.090915033,106,564,0.187943262,,0,,0,,11,,,6,,,18,,,11,,,60,,33.87090074,14.63583767
18,Maine,128940,1056250,0.122073373,30,198,0.151515152,,0,,0,,,,,,,,,,,,,,,,23.26663564,18.11691883
19,Maryland,425963,4457846,0.095553548,90,504,0.178571429,,0,,0,4,,,10,,,6,,,21,,,12,,37,21.12859568,10.2681551
20,Massachusetts,386609,5177318,0.074673605,59,597,0.098827471,57,0.966101695,2,0.033898305,0,,,3,,,7,,,6,,,6,,27,15.26089667,11.23007054
21,Michigan,671051,7579088,0.088539808,217,1274,0.17032967,216,0.995391705,1,0.004608295,12,,,13,,,25,,,1,,,45,,81,32.33733353,15.30101822
22,Minnesota,366790,4065374,0.090222941,112,625,0.1792,109,0.973214286,3,0.026785714,5,,,6,,,21,,,25,,,24,,36,30.53518362,13.87017302
23,Mississippi,201148,2215005,0.090811533,76,382,0.19895288,73,0.960526316,3,0.039473684,3,,,6,,,10,,,10,,,9,,38,37.78312486,15.19472336
24,Missouri***,490162,4578570,0.107055696,180,873,0.206185567,177,0.983333333,3,0.016666667,6,,,12,,,24,,,33,,,33,,72,36.72255295,16.95036308
25,Montana,94872,772072,0.122879731,55,224,0.245535714,53,0.963636364,2,0.036363636,2,,,,,11,,,,,,21,,,21,57.97284763,24.95569994
26,Nebraska,146104,1377398,0.106072464,34,185,0.183783784,,0,,0,,,,,,,,,,,,,,,,23.27109456,12.26352114
27,Nevada,228213,2049720,0.111338622,122,554,0.220216606,,0,,0,3,,,7,,,12,,,17,,,34,,52,53.45883013,23.71662585
28,New Hampshire,115297,1037312,0.111149779,33,203,0.162561576,33,1,0,0,,,,,,,,,,,,,,,,28.62173344,18.43787791
29,New Jersey,444887,6771714,0.065697843,92,668,0.137724551,89,0.967391304,3,0.032608696,2,,,3,,,8,,,9,,,15,,55,20.67940848,9.104089617
30,New Mexico,177041,1555130,0.113843216,83,423,0.196217494,78,0.939759036,5,0.060240964,8,,,6,,,9,,,14,,,11,,35,46.88179574,24.6718463
31,New York,917741,15160932,0.060533284,244,1557,0.156711625,235,0.963114754,9,0.036885246,9,,,9,,,30,,,118,,,67,,11,26.58702183,9.218439885
32,North Carolina,740470,7285172,0.101640703,207,1171,0.17677199,198,0.956521739,11,0.053140097,9,,,18,,,26,,,22,,,50,,82,27.95521763,14.72947126
33,North Dakota**,55556,527822,0.105255181,25,104,0.240384615,25,1,0,0,2,,,4,,,4,,,4,,,5,,6,44.99964,16.72786099
34,Ohio,876163,8842889,0.099081081,270,1274,0.211930926,267,0.988888889,3,0.011111111,5,,,26,,,21,,,49,,,66,,103,30.81618375,12.6024166
35,Oklahoma,319724,2837898,0.112662259,141,637,0.221350078,,0,,0,5,,,14,,,17,,,28,,,35,,42,44.10053671,19.69681206
36,Oregon,319194,3007303,0.106139621,150,683,0.219619327,144,0.96,6,0.04,1,,,9,,,24,,,23,,,34,,59,46.99336454,19.82806501
37,Pennsylvania,954659,9976032,0.095695262,285,1574,0.181067344,276,0.968421053,9,0.031578947,,,,,,,,,,,,,,,,29.8535917,14.28829071
38,Rhode Island,71863,829243,0.086660967,18,127,0.141732283,,0,,0,,,,,,,,,,,,,,,,25.04766013,14.39171882
39,South Carolina,398985,3563610,0.111960905,158,645,0.24496124,150,0.949367089,8,0.050632911,8,,,7,,,15,,,27,,,26,,57,39.60048623,15.38886914
40,South Dakota,70027,618454,0.113229116,25,123,0.203252033,,0,,0,,,,,,,,,,,,,,,,35.70051552,17.86928798
41,Tennessee,486407,4896267,0.099342417,190,941,0.201912859,189,0.994736842,1,0.005263158,8,,,17,,,13,,,28,,,52,,72,39.06193784,17.03001909
42,Texas,1593072,18617868,0.085566833,527,2889,0.182416061,504,0.956356736,23,0.043643264,,53,,,42,,,84,,,96,,,247,,33.0807396,13.87388137
