,state,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
25,Montana,95353,764891,0.124662207,68,227,0.299559471,65,0.955882353,3,0.044117647,5,,,,,16,,,,,,27,,,20,71.31395971,23.74771858
26,Nebraska,144695,1365316,0.105979129,21,193,0.10880829,,0,,0,,,,,,,,,,,,,,,,14.51328657,14.09118801
27,Nevada,230314,2030027,0.113453663,124,547,0.226691042,,0,,0,3,,,7,,,12,,,17,,,33,,51,53.8395408,23.50374754
28,New Hampshire,114826,1029988,0.111482852,41,196,0.209183673,38,0.926829268,3,0.073170732,,,,,,,,,,,,,,,,35.70619894,16.93689205
29,New Jersey,453498,6732067,0.067363857,94,719,0.130737135,93,0.989361702,1,0.010638298,2,,,5,,,7,,,13,,,20,,47,20.72776506,9.954497593
30,New Mexico,178732,1539376,0.116106786,82,413,0.198547215,76,0.926829268,6,0.073170732,1,,,7,,,7,,,10,,,20,,37,45.87874583,24.32671588
31,New York,951890,15055513,0.063225345,214,1547,0.138332256,208,0.971962617,6,0.028037383,10,,,4,,,8,,,42,,,76,,74,22.48158926,9.45147215
32,North Carolina,726084,7190151,0.100983137,222,1174,0.189097104,212,0.954954955,10,0.045045045,13,,,22,,,22,,,34,,,41,,90,30.5749748,14.72757012
33,North Dakota**,52076,519829,0.100179097,24,106,0.226415094,24,1,0,0,2,,,4,,,4,,,4,,,5,,6,46.08648898,17.53061979
34,Ohio,892782,8803836,0.101408295,268,1439,0.186240445,261,0.973880597,7,0.026119403,5,,,22,,,39,,,39,,,49,,114,30.01852636,14.80207315
35,Oklahoma,323461,2810612,0.115085611,131,618,0.21197411,,0,,0,4,,,13,,,15,,,26,,,33,,40,40.49947289,19.58063664
36,Oregon,331584,2969208,0.111674224,151,685,0.220437956,146,0.966887417,5,0.033112583,3,,,9,,,20,,,23,,,36,,60,45.53898861,20.24549367
37,Pennsylvania,981646,9917938,0.098976824,285,1576,0.180837563,276,0.968421053,9,0.031578947,5,,,19,,,23,,,55,,,59,,124,29.03286928,14.44670787
38,Rhode Island,72835,825652,0.088215132,20,129,0.15503876,,0,,0,,,,,,,,,,,,,,,,27.45932587,14.4789504
39,South Carolina,409008,3521443,0.116147841,132,637,0.20722135,129,0.977272727,3,0.022727273,11,,,8,,,17,,,13,,,36,,47,32.27320737,16.22523844
40,South Dakota,69780,610858,0.114232768,21,140,0.15,,0,,0,,,,,,,,,,,,,,,,30.09458298,21.99313223
41,Tennessee,487899,4846847,0.100663173,155,943,0.164369035,149,0.961290323,6,0.038709677,3,,,12,,,19,,,34,,,24,,63,31.7688702,18.07775638
42,Texas,1609732,18268116,0.088117023,535,2891,0.185057074,520,0.971962617,15,0.028037383,,59,,,54,,,71,,,85,,,266,,33.23534601,14.14302852
43,Utah,152839,1898882,0.08048894,75,473,0.158562368,73,0.973333333,2,0.026666667,0,,,9,,,8,,,11,,,21,,24,49.0712449,22.79439853
44,Vermont,48498,495796,0.097818458,15,106,0.141509434,15,1,0,0,0,,,0,,,0,,,3,,,4,,8,30.92911048,20.34437892
45,Virginia,742131,6056442,0.122535806,188,963,0.195223261,181,0.962765957,7,0.037234043,3,,,16,,,19,,,36,,,35,,79,25.33245478,14.58326395
46,Washington,592322,5112364,0.115860686,222,957,0.231974922,212,0.954954955,10,0.045045045,13,,,22,,,22,,,34,,,41,,90,37.47961413,16.26091085
47,West Virginia,163476,1465012,0.111586799,72,279,0.258064516,70,0.972222222,2,0.027777778,2,,,4,,,9,,,8,,,15,,34,44.0431623,15.9042854
48,Wisconsin,420641,4351489,0.096665992,169,793,0.213114754,,0,,0,8,,,8,,,15,,,33,,,48,,57,40.17677782,15.87443727
49,Wyoming,52337,425022,0.123139508,29,131,0.221374046,,0,,0,,,,,,,,,,,,,,,,55.4101305,27.3689577
