,state,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,401114,3634612,0.11035951,156,679,0.229749632,,0,,0,,,,,,,,,,,,,,,,38.89168665,16.174434
1,Alaska,71399,507439,0.140704597,35,164,0.213414634,33,0.942857143,2,0.057142857,4,,,6,,,5,,,6,,,8,,6,49.0202944,29.58444179
2,Arizona,529692,4762678,0.111217261,240,1093,0.21957914,,0,,0,,,,,,,,,,,,,,,,45.30934958,20.15125965
3,Arkansas,247571,2203766,0.112339967,105,447,0.234899329,103,0.980952381,2,0.019047619,,,13,,,,,,27,,,,25,,40,42.41207573,17.48291965
4,California,1947570,27908574,0.069783931,705,3913,0.180168669,682,0.967375887,23,0.032624113,25,,,,,82,,,,,,267,,,331,36.19895562,12.35699513
5,Colorado,391203,3789844,0.103224038,156,865,0.180346821,155,0.993589744,1,0.006410256,12,,,8,,,16,,,31,,,39,,50,39.87699481,20.86127955
6,Connecticut,225379,2753985,0.08183741,52,353,0.147308782,,0,,0,,,,,,,,,,,,,,,,23.07224719,11.90379205
7,Delaware,73311,690836,0.106119253,14,106,0.132075472,12,0.857142857,2,0.142857143,0,,,1,,,2,,,4,,,4,,3,19.09672491,14.89818226
8,Florida*,1616185,14789132,0.109281938,642,2789,0.230190032,,0,,0,,,,,,,,,,,,,,,,39.72317526,16.29855491
9,Georgia,696844,7170107,0.097187392,175,1133,0.154457193,,0,,0,10,,,15,,,11,,,25,,,42,,72,25.11322477,14.7993369
10,Hawaii,117301,1025770,0.114354095,31,207,0.149758454,,0,,0,,,,,,,,,,,,,,,,26.42773719,19.37325324
11,Idaho,125328,1139751,0.10996086,70,290,0.24137931,67,0.957142857,3,0.042857143,3,,,4,,,,,16,,,,17,,30,55.85344057,21.68720544
12,Illinois,751492,9708301,0.077407159,200,1178,0.169779287,,0,,0,,,,,,,,,,,,,,,,26.6137231,10.91906727
13,Indiana,469627,4880691,0.096221416,165,864,0.190972222,163,0.987878788,2,0.012121212,,9,,,15,,,28,,,29,,,81,,35.13426613,15.84651685
14,Iowa,233244,2323493,0.100385067,71,372,0.190860215,,0,,0,,,,,,,,,,,,,,,,30.44022569,14.40019825
15,Kansas,215780,2118586,0.101850952,81,401,0.201995012,76,0.938271605,5,0.061728395,7,,,8,,,7,,,17,,,19,,23,37.53823339,16.81726881
16,Kentucky,317278,3295944,0.096263165,104,631,0.16481775,,0,,0,,,,,,,,,,,,,,,,32.77882488,17.69248382
17,Louisiana,312187,3410467,0.091537904,125,557,0.224416517,,0,,0,,11,,,12,,,13,,,23,,,68,,40.04010417,13.94322011
18,Maine,128123,1051795,0.121813661,46,186,0.247311828,,0,,0,,,,,,,,,,,,,,,,35.90299946,15.15689552
19,Maryland,429774,4404995,0.09756515,85,502,0.169322709,,0,,0,4,,,9,,,5,,,20,,,11,,36,19.77783672,10.48998282
20,Massachusetts,398252,5135613,0.07754712,75,598,0.12541806,67,0.893333333,8,0.106666667,1,,,8,,,10,,,5,,,22,,29,18.83229714,11.03990175
21,Michigan,692922,7538643,0.091916012,212,1263,0.167854315,211,0.995283019,1,0.004716981,12,,,12,,,24,,,40,,,44,,80,30.59507419,15.35265606
22,Minnesota,377976,4024747,0.093912984,91,606,0.150165017,88,0.967032967,3,0.032967033,2,,,3,,,13,,,22,,,18,,33,24.07560268,14.12208225
23,Mississippi,204156,2204874,0.092593046,76,388,0.195876289,73,0.960526316,3,0.039473684,2,,,7,,,6,,,13,,,19,,29,37.22643469,15.59440161
24,Missouri***,495420,4555615,0.108749313,180,856,0.210280374,177,0.983333333,3,0.016666667,6,,,12,,,24,,,33,,,33,,72,36.33280853,16.64944664
