,state,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,402072,3521323,0.114182084,138,604,0.228476821,,0,,0,,,,,,,,,,,,,,,,34.32221095,14.93948387
1,Alaska,67833,486235,0.139506617,27,169,0.159763314,27,1,0,0,3,,,1,,,3,,,4,,,10,,6,39.8036354,33.9386523
2,Arizona,551053,4768630,0.115557928,233,972,0.239711934,,0,,0,,,,,,,,,,,,,,,,42.28268424,17.52190891
3,Arkansas,243494,2145844,0.113472368,96,447,0.214765101,90,0.9375,6,0.0625,,,17,,,103,,,20,,,,23,,36,39.42602282,18.45086341
4,California,2034700,27233110,0.074714199,727,3775,0.192582781,712,0.979367263,15,0.020632737,21,,,,,,,,,,,267,,,336,35.73008306,12.0960013
5,Colorado,415094,3705758,0.112013251,188,803,0.234122042,179,0.95212766,9,0.04787234,5,,,11,,,26,,,45,,,37,,64,45.29094615,18.68923719
6,Connecticut,237074,2684092,0.088325586,46,315,0.146031746,,0,,0,,,,,,,,,,,,,,,,19.40322431,10.99297185
7,Delaware,75987,661193,0.114924084,23,109,0.211009174,23,1,0,0,1,,,1,,,1,,,4,,,5,,11,30.26833537,14.69567981
8,Florida*,1655847,14266412,0.116066114,631,2740,0.230291971,,0,,0,,,,,,,,,,,,,,,,38.10738553,16.72407224
9,Georgia,709363,7082157,0.100161999,192,981,0.195718654,,0,,0,4,,,14,,,18,,,38,,,43,,75,27.06653716,12.38075481
10,Hawaii,106372,959788,0.110828641,20,133,0.15037594,,0,,0,,,,,,,,,,,,,,,,18.80194036,13.24090479
11,Idaho,135394,1105360,0.122488601,75,252,0.297619048,74,0.986666667,1,0.013333333,1,,,4,,,,,25,,,,16,,32,55.39388747,18.2480623
12,Illinois,782182,9701259,0.080626855,229,1198,0.19115192,,0,,0,7,,,11,,,30,,,40,,,51,,90,29.27707362,10.86435289
13,Indiana,486149,4787570,0.101543998,184,809,0.227441286,180,0.97826087,4,0.02173913,,9,,,15,,,20,,,32,,,103,,37.84847855,14.53008204
14,Iowa,245912,2290057,0.10738248,74,380,0.194736842,,0,,0,,,,,,,,,,,,,,,,30.09206545,14.96958386
15,Kansas,231810,2084264,0.111219116,74,337,0.21958457,73,0.986486486,1,0.013513514,7,,,6,,,10,,,10,,,12,,29,31.92269531,14.19738358
16,Kentucky,329768,3242747,0.101694027,51,612,0.083333333,,0,,0,,,,,,,,,,,,,,,,15.46541811,19.25863523
17,Louisiana,304756,3287010,0.092715264,97,532,0.182330827,,0,,0,,7,,,17,,,10,,,15,,,48,,31.82874168,14.58628272
18,Maine,136533,1038090,0.131523278,44,181,0.243093923,,0,,0,,,,,,,,,,,,,,,,32.22664118,15.19593326
19,Maryland,445742,4265690,0.104494701,92,507,0.181459566,,0,,0,1,,,8,,,5,,,13,,,21,,44,20.63974227,10.86402223
20,Massachusetts,422508,5062590,0.083456887,48,509,0.094302554,48,1,0,0,0,,,0,,,4,,,8,,,8,,28,11.36073163,9.935169249
21,Michigan,720840,7603028,0.094809594,224,1180,0.189830508,219,0.977678571,5,0.022321429,12,,,13,,,33,,,41,,,45,,80,31.07485711,13.8909312
22,Minnesota,391485,3966540,0.098696849,110,596,0.184563758,109,0.990909091,1,0.009090909,4,,,6,,,10,,,20,,,30,,40,28.09813914,13.59419645
23,Mississippi,209831,2158203,0.097224867,81,409,0.19804401,81,1,0,0,1,,,6,,,8,,,16,,,11,,39,38.60249439,16.83456753
24,Missouri***,508839,4469294,0.11385221,180,779,0.231065469,177,0.983333333,3,0.016666667,6,,,12,,,24,,,33,,,33,,72,35.37464699,15.12452483
25,Montana,100543,741354,0.13562077,50,203,0.246305419,49,0.98,1,0.02,1,,,,,10,,,,,,17,,,22,49.72996628,23.87599464
26,Nebraska,147482,1329791,0.11090615,21,191,0.109947644,,0,,0,,,,,,,,,,,,,,,,14.23902578,14.37864382
