,Unnamed: 0,state,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,0,Alabama,395753,3662910,0.108043331667991,163,680,0.239705882352941,,0.0,,0.0,,,,,,,,,,,,,,,,41.1873062238315,15.824155374228999
1,1,Alaska,72407,517799,0.139836114013353,27,142,0.190140845070423,24.0,0.8888888888888891,3.0,0.111111111111111,4.0,,,5.0,,,3.0,,,4.0,,,5.0,,6.0,37.2892123689698,25.819951862628898
2,2,Arizona,533608,4842927,0.11018295340813498,242,1091,0.221814848762603,,0.0,,0.0,,,,,,,,,,,,,,,,45.3516439033898,19.701488796721698
3,3,Arkansas,238790,2221409,0.10749483773586901,89,447,0.19910514541387,89.0,1.0,0.0,0.0,,,11.0,,,,,,31.0,,,,14.0,,33.0,37.2712425143431,18.0569236953747
4,4,California,1910994,28292703,0.067543705527181,706,3923,0.179964313025746,679.0,0.961756373937677,27.0,0.038243626062323,20.0,,,,,80.0,,,,,,250.0,,,356.0,36.9441243666908,12.194054600481
5,5,Colorado,411754,3857537,0.106740129777109,170,879,0.19340159271899898,166.0,0.9764705882352941,4.0,0.023529411764706,8.0,,,14.0,,,25.0,,,28.0,,,37.0,,58.0,41.2867877421956,20.5758749172539
6,6,Connecticut,225987,2768440,0.08162972648856401,54,364,0.148351648351648,,0.0,,0.0,,,,,,,,,,,,,,,,23.895179811228104,12.192949092864302
7,7,Delaware,77885,699180,0.111394776738465,17,116,0.146551724137931,15.0,0.8823529411764699,2.0,0.11764705882352902,1.0,,,2.0,,,2.0,,,3.0,,,4.0,,5.0,21.8270527059126,15.9344594757724
8,8,Florida*,1571482,15012091,0.10468108673202198,642,2789,0.23019003226963103,,0.0,,0.0,,,,,,,,,,,,,,,,40.853156447226205,15.9739785600489
9,9,Georgia,686591,7279776,0.094314852544914,218,1133,0.192409532215357,,0.0,,0.0,12.0,,,20.0,,,22.0,,,37.0,,,50.0,,77.0,31.751071598666396,13.8779664153213
10,10,Hawaii,109218,1034113,0.10561515037524902,27,207,0.130434782608696,,0.0,,0.0,,,,,,,,,,,,,,,,24.721199802230398,19.461668621843604
11,11,Idaho,121382,1155068,0.10508645378453901,68,290,0.23448275862068998,67.0,0.9852941176470591,1.0,0.014705882352941001,4.0,,,3.0,,,,,22.0,,,,17.0,,22.0,56.0214858875286,21.4765412320569
12,12,Illinois,719528,9752324,0.073780157427091,191,1183,0.16145393068470001,,0.0,,0.0,,,,,,,,,,,,,,,,26.5451796177494,10.982203074219802
