,Unnamed: 0,state,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,0,Alabama,408917,3473558,0.11772280756503802,145,580,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,35.4595186798299,14.1941584675008
1,1,Alaska,70067,478581,0.146405728601846,29,135,0.21481481481481499,28.0,0.96551724137931,1.0,0.03448275862069,1.0,,,1.0,,,5.0,,,5.0,,,11.0,,6.0,41.3889562846989,25.947703138692898
2,2,Arizona,558906,4521911,0.12359951356848899,225,979,0.229826353421859,,0.0,,0.0,,,,,,,,,,,,,,,,40.2572167770609,19.025966406804898
3,3,Arkansas,258170,2110583,0.122321652358614,90,376,0.23936170212766,88.0,0.9777777777777779,2.0,0.022222222222222,,,9.0,,,,,,25.0,,,,,,39.0,34.8607506681644,15.439321576775802
4,4,California,2142367,26789221,0.07997123171293401,665,3334,0.19946010797840397,655.0,0.9849624060150379,10.0,0.015037593984962001,20.0,,,,,95.0,,,,,,238.0,,,312.0,31.040433315113603,10.828968273192197
5,5,Colorado,416250,3558782,0.11696417482161,148,730,0.20273972602739698,140.0,0.9459459459459459,8.0,0.054054054054054,3.0,,,6.0,,,24.0,,,28.0,,,32.0,,55.0,35.5555555555556,18.520097806482198
6,6,Connecticut,260131,2680115,0.09705964109749,44,292,0.150684931506849,,0.0,,0.0,,,,,,,,,,,,,,,,16.9145545898028,10.2480016396803
7,7,Delaware,79438,647164,0.12274786607413302,16,91,0.175824175824176,15.0,0.9375,1.0,0.0625,1.0,,,1.0,,,1.0,,,1.0,,,3.0,,9.0,20.141493995317102,13.210598070195802
8,8,Florida*,1747213,14016217,0.124656531787429,562,2440,0.23032786885245896,,0.0,,0.0,,,,,,,,,,,,,,,,32.1655115890278,15.3068659852096
9,9,Georgia,732779,6850347,0.10696961774345201,97,923,0.105092091007584,,0.0,,0.0,1.0,,,13.0,,,25.0,,,30.0,,,27.0,,1.0,13.237278906737199,13.5020975655685
10,10,Hawaii,117468,950715,0.123557533014626,21,120,0.175,,0.0,,0.0,,,,,,,,,,,,,,,,17.877209112268897,11.881230895520801
11,11,Idaho,133128,1066418,0.12483660253296601,53,222,0.23873873873873896,53.0,1.0,0.0,0.0,2.0,,,4.0,,,,,16.0,,,,9.0,,22.0,39.811309416501395,18.107983584952198
12,12,Illinois,845481,9597260,0.08809608158995401,186,1010,0.184158415841584,,0.0,,0.0,3.0,,,15.0,,,21.0,,,38.0,,,40.0,,69.0,21.999311634442396,9.41522860666386
13,13,Indiana,513266,4728420,0.10854915595484299,108,824,0.131067961165049,107.0,0.9907407407407409,1.0,0.009259259259259,,1.0,,,8.0,,,13.0,,,28.0,,,57.0,,21.041721056917897,16.986330748532602
14,14,Iowa,253158,2265619,0.111738999363971,63,334,0.188622754491018,,0.0,,0.0,,,,,,,,,,,,,,,,24.885644538193496,13.4660994672692
15,15,Kansas,234507,2053186,0.114216149925043,94,379,0.24802110817942,93.0,0.9893617021276601,1.0,0.010638297872339999,1.0,,,10.0,,,20.0,,,14.0,,,15.0,,34.0,40.0840913064429,15.6707148430262
16,16,Kentucky,340830,3192332,0.106765211137187,34,622,0.054662379421222,,0.0,,0.0,,,,,,,,,,,,,,,,9.975647683595929,20.6207114706565
17,17,Louisiana,324880,3183547,0.102049694884354,81,492,0.164634146341463,,0.0,,0.0,,9.0,,,7.0,,,7.0,,,20.0,,,38.0,,24.932282688992895,14.3773304130911
18,18,Maine,142205,1035232,0.137365344193379,43,158,0.272151898734177,,0.0,,0.0,,,,,,,,,,,,,,,,30.238036637248996,12.877550174854699
19,19,Maryland,475371,4230839,0.11235856528693199,91,495,0.18383838383838397,,0.0,,0.0,4.0,,,7.0,,,5.0,,,13.0,,,21.0,,41.0,19.1429430907649,10.7576472492909
20,20,Massachusetts,453873,4983228,0.091080119151682,30,450,0.066666666666667,30.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,,3.0,,,13.0,,14.0,6.60977850632225,9.27284348433717
21,21,Michigan,765929,7613279,0.100604351948746,258,1139,0.22651448639157198,250.0,0.9689922480620159,8.0,0.031007751937983996,3.0,,,12.0,,,40.0,,,56.0,,,59.0,,88.0,33.6845843413685,12.8662913389852
22,22,Minnesota,410003,3905954,0.10496872210988699,113,554,0.20397111913357396,107.0,0.946902654867257,6.0,0.053097345132743,2.0,,,8.0,,,15.0,,,23.0,,,16.0,,49.0,27.5607739455565,12.614593282342902
23,23,Mississippi,212612,2140412,0.09933227808478,65,325,0.2,63.0,0.969230769230769,2.0,0.030769230769231003,0.0,,,1.0,,,6.0,,,8.0,,,16.0,,34.0,30.5721219874701,13.486876231974302
