,Unnamed: 0,state,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
27,27,Nevada,227277,1922260,0.118234265916161,131,528,0.248106060606061,,0.0,,0.0,5.0,,,4.0,,,9.0,,,23.0,,,37.0,,53.0,57.6389163883719,23.422063820109102
28,28,New Hampshire,121145,1021327,0.118615291674459,36,179,0.201117318435754,35.0,0.9722222222222221,1.0,0.027777777777778,,,,,,,,,,,,,,,,29.716455487226,15.885676452095199
29,29,New Jersey,485053,6623050,0.073237103751293,77,615,0.12520325203252,75.0,0.9740259740259741,2.0,0.025974025974026,1.0,,,2.0,,,12.0,,,14.0,,,15.0,,33.0,15.874553914726802,8.76507433939769
30,30,New Mexico,171725,1473640,0.11653117450666399,80,419,0.19093078758949897,76.0,0.95,4.0,0.05,3.0,,,4.0,,,10.0,,,20.0,,,9.0,,34.0,46.5861115155044,26.0385662658468
31,31,New York,1032622,15051925,0.068603982547083,224,1409,0.158977998580554,220.0,0.982142857142857,4.0,0.017857142857143002,2.0,,,,,,7.0,,,6.0,,,54.0,,155.0,21.692352090116202,8.45263134693644
32,32,North Carolina,746259,6879572,0.108474626037783,238,1162,0.20481927710843398,232.0,0.9747899159663861,6.0,0.025210084033613,11.0,,,16.0,,,27.0,,,52.0,,,46.0,,86.0,31.8924126878202,15.0652673359406
33,33,North Dakota**,54688,493281,0.110865814819545,14,86,0.162790697674419,13.0,0.9285714285714292,1.0,0.071428571428571,0.0,,,0.0,,,0.0,,,3.0,,,5.0,,5.0,25.599765944997102,16.4161306724002
34,34,Ohio,926863,8740001,0.106048386035654,264,1412,0.18696883852691198,259.0,0.981060606060606,5.0,0.018939393939393995,5.0,,,15.0,,,32.0,,,52.0,,,63.0,,97.0,28.4831738886977,14.693200094507501
35,35,Oklahoma,316987,2713979,0.116797882371234,145,575,0.25217391304347797,,0.0,,0.0,6.0,,,11.0,,,22.0,,,23.0,,,24.0,,55.0,45.74320082527039,17.939150401837
36,36,Oregon,349013,2919847,0.11953126311070401,140,572,0.244755244755245,136.0,0.9714285714285709,4.0,0.028571428571429,4.0,,,8.0,,,19.0,,,22.0,,,36.0,,51.0,40.1131189955675,16.8038854317315
37,37,Pennsylvania,1023082,9671561,0.10578251018630801,333,1539,0.21637426900584802,330.0,0.990990990990991,3.0,0.009009009009009002,5.0,,,20.0,,,43.0,,,61.0,,,73.0,,131.0,32.5487106605336,13.9446485329964
38,38,Rhode Island,82464,815584,0.10111036999254501,16,110,0.14545454545454503,,0.0,,0.0,,,,,,,,,,,,,,,,19.4024058983314,12.8219118288957
39,39,South Carolina,391275,3375008,0.115933058529046,137,565,0.242477876106195,131.0,0.956204379562044,6.0,0.043795620437956005,9.0,,,5.0,,,11.0,,,20.0,,,42.0,,50.0,35.013737141396696,14.3444470399999
40,40,South Dakota,70852,601688,0.117755381526638,20,124,0.161290322580645,,0.0,,0.0,,,,,,,,,,,,,,,,28.227855247558303,19.5917383146584
41,41,Tennessee,503323,4720255,0.10663046805733999,176,973,0.180883864337102,173.0,0.982954545454545,3.0,0.017045454545454,5.0,,,11.0,,,16.0,,,40.0,,,50.0,,54.0,34.967605295208,18.899996490339397
42,42,Texas,1603981,17493335,0.091690978306881,454,2552,0.17789968652037602,445.0,0.980176211453744,9.0,0.019823788546256,,41.0,,,38.0,,,74.0,,,76.0,,,225.0,,28.304574680124002,13.2038092926874
43,43,Utah,146547,1875269,0.07814718848335901,55,390,0.141025641025641,55.0,1.0,0.0,0.0,5.0,,,6.0,,,5.0,,,11.0,,,16.0,,12.0,37.5306215753308,19.3784772797477
44,44,Vermont,53175,491776,0.10812849752733,15,94,0.159574468085106,14.0,0.933333333333333,1.0,0.066666666666667,0.0,,,0.0,,,1.0,,,3.0,,,6.0,,5.0,28.2087447108604,18.0118148385435
45,45,Virginia,720855,5812063,0.124027389241995,203,948,0.21413502109704602,194.0,0.9556650246305419,9.0,0.044334975369458005,6.0,,,12.0,,,20.0,,,35.0,,,33.0,,87.0,28.161003253081397,14.6330694012109
46,46,Washington,606459,4942947,0.12269178690364302,238,889,0.26771653543307106,232.0,0.9747899159663861,6.0,0.025210084033613,11.0,,,16.0,,,27.0,,,52.0,,,46.0,,86.0,39.2442028232741,15.0121480792752
47,47,West Virginia,171744,1426761,0.12037334914537198,58,261,0.222222222222222,56.0,0.96551724137931,2.0,0.03448275862069,4.0,,,3.0,,,9.0,,,7.0,,,12.0,,23.0,33.7711943357555,16.1750797001156
48,48,Wisconsin,438533,4310254,0.101741799903208,131,743,0.17631224764468398,,0.0,,0.0,0.0,,,6.0,,,17.0,,,24.0,,,45.0,,39.0,29.8723243176682,15.8069241042937
49,49,Wyoming,50704,401718,0.126217894144649,30,124,0.241935483870968,,0.0,,0.0,,,,,,,,,,,,,,,,59.1669296307984,26.7795586500823
