,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
23,Mississippi,226398,2070896,0.109323693705526,68,363,0.18732782369146,212612,2140412,0.09933227808478,65,325,0.2,214698,2140780,0.100289614065901,83,396,0.20959595959596,209831,2158203,0.097224867169585,81,409,0.198044009779951,203152,2171630,0.093548164282129,77,381,0.202099737532808,204156,2204874,0.092593046133248,76,388,0.19587628865979395,201148,2215005,0.09081153315681,76,382,0.198952879581152
24,Missouri***,533517,4251339,0.125493873812462,180,727,0.247592847317744,526916,4403875,0.119648264312679,180,799,0.22528160200250305,511821,4434377,0.115421174158174,180,808,0.22277227722772305,508839,4469294,0.113852210214857,180,779,0.231065468549422,498159,4536263,0.109817045440267,180,860,0.209302325581395,495420,4555615,0.108749312661408,180,856,0.210280373831776,490162,4578570,0.10705569642923403,180,873,0.206185567010309
25,Montana,100637,704193,0.142911105336179,59,206,0.286407766990291,102845,722684,0.14230977854774698,54,189,0.28571428571428603,102649,735059,0.139647293618607,53,196,0.27040816326530603,100543,741354,0.135620769564877,50,203,0.246305418719212,96661,749212,0.129016887076021,48,219,0.219178082191781,95353,764891,0.124662206771945,68,227,0.299559471365639,94872,772072,0.122879731424012,55,224,0.245535714285714
26,Nebraska,154607,1270888,0.121652734151239,18,187,0.096256684491979,151844,1316899,0.11530421087722,5,202,0.024752475247525,149306,1320148,0.113097925384124,15,181,0.08287292817679599,147482,1329791,0.110906149913783,21,191,0.109947643979058,147275,1342732,0.109683093871301,30,170,0.17647058823529396,144695,1365316,0.105979128641282,21,193,0.10880829015544,146104,1377398,0.106072464167946,34,185,0.183783783783784
27,Nevada,233633,1757343,0.132946726962238,106,480,0.22083333333333305,236901,1852592,0.127875430747839,107,486,0.220164609053498,233596,1892386,0.123439932445072,104,471,0.220806794055202,227277,1922260,0.118234265916161,131,528,0.248106060606061,218908,1947160,0.112424248649315,118,505,0.233663366336634,230314,2030027,0.113453663424181,124,547,0.226691042047532,228213,2049720,0.111338621860547,122,554,0.220216606498195
28,New Hampshire,129603,967192,0.13399924730560198,37,162,0.228395061728395,130690,1015927,0.128641132679809,33,151,0.21854304635761604,122646,1016155,0.120696153637978,42,158,0.265822784810127,121145,1021327,0.118615291674459,36,179,0.201117318435754,114796,1034119,0.111008500955886,28,166,0.168674698795181,114826,1029988,0.111482852227405,41,196,0.209183673469388,115297,1037312,0.111149779429911,33,203,0.16256157635468
29,New Jersey,546437,6358519,0.085937778907321,80,536,0.149253731343284,527080,6628089,0.079522166947366,93,585,0.15897435897435902,497130,6615934,0.07514131791520301,80,596,0.134228187919463,485053,6623050,0.073237103751293,77,615,0.12520325203252,464094,6646834,0.06982181291123,81,557,0.145421903052065,453498,6732067,0.06736385719274599,94,719,0.130737134909597,444887,6771714,0.06569784252554099,92,668,0.137724550898204
30,New Mexico,177687,1392242,0.12762651895288302,80,342,0.23391812865497105,176274,1436320,0.122726133452156,76,352,0.21590909090909105,178400,1465336,0.121746821206877,96,401,0.239401496259352,171725,1473640,0.116531174506664,80,419,0.19093078758949894,168545,1484782,0.113514980650358,85,376,0.226063829787234,178732,1539376,0.116106786126327,82,413,0.198547215496368,177041,1555130,0.113843215679718,83,423,0.196217494089835
31,New York,1098272,14119047,0.077786553157589,208,1189,0.17493692178301098,1098766,14768694,0.07439831849722099,216,1326,0.16289592760181,1041376,14857620,0.070090364405605,205,1396,0.146848137535817,1032622,15051925,0.068603982547083,224,1409,0.158977998580554,994358,15092255,0.065885316674016,192,1417,0.135497529992943,951890,15055513,0.06322534476241401,214,1547,0.138332255979315,917741,15160932,0.060533283837696,244,1557,0.15671162491971696
32,North Carolina,723831,6240503,0.11598920792122,225,1009,0.222993062438057,752508,6625708,0.113573975792474,200,1106,0.180831826401447,734260,6773333,0.108404532893924,229,1077,0.212627669452182,746259,6879572,0.108474626037783,238,1162,0.204819277108434,731015,6996408,0.104484329673169,249,1174,0.21209540034071606,726084,7190151,0.100983136515492,222,1174,0.189097103918228,740470,7285172,0.101640702511897,207,1171,0.17677198975234806
