,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
15,Kansas,238506,1981969,0.120337906,86,362,0.23756906100000003,234507,2053186,0.11421615,94,379,0.24802110800000002,231387,2067370,0.111923362,88,382,0.230366492,231810,2084264,0.11121911599999999,74,337,0.21958457,218993,2099260,0.10431914099999999,93,382,0.243455497,215780,2118586,0.101850952,81,401,0.201995012,210240,2132796,0.098574829,72,400,0.18
16,Kentucky,341752,3073085,0.11120811800000001,44,566,0.077738516,340830,3192332,0.106765211,34,622,0.054662379000000004,335093,3220471,0.104050929,44,649,0.06779661,329768,3242747,0.10169402699999999,51,612,0.083333333,319199,3275369,0.097454363,104,592,0.175675676,317278,3295944,0.096263165,104,631,0.16481775,311073,3330313,0.093406536,124,641,0.193447738
17,Louisiana,337822,3234969,0.10442820300000001,101,505,0.2,324880,3183547,0.102049695,81,492,0.164634146,315184,3199922,0.098497401,91,522,0.174329502,304756,3287010,0.092715264,97,532,0.182330827,315813,3351308,0.09423574300000001,92,490,0.18775510199999998,312187,3410467,0.091537904,125,557,0.22441651699999998,312953,3442258,0.090915033,106,564,0.187943262
18,Maine,145352,1003350,0.144866697,49,175,0.28,142205,1035232,0.137365344,43,158,0.272151899,142506,1034884,0.13770239,39,191,0.204188482,136533,1038090,0.13152327800000002,44,181,0.24309392300000002,132238,1043178,0.12676456,45,197,0.228426396,128123,1051795,0.12181366099999999,46,186,0.247311828,128940,1056250,0.12207337300000001,30,198,0.151515152
19,Maryland,480654,4038360,0.119022078,105,472,0.222457627,475371,4230839,0.112358565,91,495,0.183838384,461184,4232439,0.108964122,76,518,0.146718147,445742,4265690,0.104494701,92,507,0.18145956600000002,438707,4313424,0.101707368,97,551,0.176043557,429774,4404995,0.09756515,85,502,0.169322709,425963,4457846,0.095553548,90,504,0.17857142899999998
20,Massachusetts,453249,4725900,0.095907446,51,480,0.10625,453873,4983228,0.091080119,30,450,0.066666667,437588,5011861,0.087310482,50,516,0.096899225,422508,5062590,0.08345688700000001,48,509,0.09430255400000001,414595,5153924,0.080442591,48,530,0.090566038,398252,5135613,0.07754712,75,598,0.12541806,386609,5177318,0.074673605,59,597,0.098827471
21,Michigan,782823,7347736,0.106539348,232,1108,0.20938628199999998,765929,7613279,0.100604352,258,1139,0.22651448600000001,749774,7616804,0.098436825,230,1131,0.20335985899999998,720840,7603028,0.094809594,224,1180,0.189830508,706848,7614974,0.092823429,232,1169,0.198460222,692922,7538643,0.09191601199999999,212,1263,0.167854315,671051,7579088,0.08853980800000001,217,1274,0.17032967
22,Minnesota,407255,3759713,0.10832076800000001,103,547,0.18829981699999998,410003,3905954,0.10496872199999999,113,554,0.20397111899999998,405354,3935350,0.103003291,125,572,0.21853146899999998,391485,3966540,0.098696849,110,596,0.184563758,381202,4004268,0.095198923,106,584,0.181506849,377976,4024747,0.093912984,91,606,0.15016501699999998,366790,4065374,0.090222941,112,625,0.1792
23,Mississippi,226398,2070896,0.109323694,68,363,0.18732782399999998,212612,2140412,0.09933227800000001,65,325,0.2,214698,2140780,0.100289614,83,396,0.20959596,209831,2158203,0.09722486699999999,81,409,0.19804401,203152,2171630,0.093548164,77,381,0.202099738,204156,2204874,0.092593046,76,388,0.19587628899999998,201148,2215005,0.09081153300000001,76,382,0.19895288
24,Missouri***,533517,4251339,0.125493874,180,727,0.247592847,526916,4403875,0.119648264,180,799,0.225281602,511821,4434377,0.115421174,180,808,0.222772277,508839,4469294,0.11385221,180,779,0.231065469,498159,4536263,0.109817045,180,860,0.209302326,495420,4555615,0.10874931300000001,180,856,0.210280374,490162,4578570,0.10705569599999999,180,873,0.206185567
25,Montana,100637,704193,0.142911105,59,206,0.286407767,102845,722684,0.142309779,54,189,0.28571428600000004,102649,735059,0.139647294,53,196,0.27040816300000003,100543,741354,0.13562077,50,203,0.246305419,96661,749212,0.129016887,48,219,0.219178082,95353,764891,0.124662207,68,227,0.299559471,94872,772072,0.12287973099999999,55,224,0.245535714
26,Nebraska,154607,1270888,0.121652734,18,187,0.09625668400000001,151844,1316899,0.11530421099999999,5,202,0.024752475,149306,1320148,0.113097925,15,181,0.082872928,147482,1329791,0.11090615,21,191,0.109947644,147275,1342732,0.10968309400000001,30,170,0.176470588,144695,1365316,0.105979129,21,193,0.10880829,146104,1377398,0.106072464,34,185,0.18378378399999998
27,Nevada,233633,1757343,0.132946727,106,480,0.22083333300000002,236901,1852592,0.12787543099999998,107,486,0.22016460899999998,233596,1892386,0.12343993199999999,104,471,0.22080679399999997,227277,1922260,0.11823426599999999,131,528,0.24810606100000002,218908,1947160,0.112424249,118,505,0.233663366,230314,2030027,0.11345366300000001,124,547,0.22669104199999998,228213,2049720,0.111338622,122,554,0.220216606
28,New Hampshire,129603,967192,0.133999247,37,162,0.22839506199999998,130690,1015927,0.12864113300000002,33,151,0.21854304600000002,122646,1016155,0.120696154,42,158,0.265822785,121145,1021327,0.118615292,36,179,0.20111731800000002,114796,1034119,0.111008501,28,166,0.16867469899999998,114826,1029988,0.111482852,41,196,0.20918367300000001,115297,1037312,0.111149779,33,203,0.16256157599999999
29,New Jersey,546437,6358519,0.085937779,80,536,0.149253731,527080,6628089,0.079522167,93,585,0.158974359,497130,6615934,0.075141318,80,596,0.134228188,485053,6623050,0.073237104,77,615,0.125203252,464094,6646834,0.069821813,81,557,0.14542190300000002,453498,6732067,0.067363857,94,719,0.130737135,444887,6771714,0.06569784299999999,92,668,0.137724551
30,New Mexico,177687,1392242,0.127626519,80,342,0.23391812899999997,176274,1436320,0.122726133,76,352,0.21590909100000003,178400,1465336,0.12174682099999999,96,401,0.23940149600000002,171725,1473640,0.116531175,80,419,0.19093078800000002,168545,1484782,0.113514981,85,376,0.22606383,178732,1539376,0.11610678599999999,82,413,0.198547215,177041,1555130,0.113843216,83,423,0.196217494
31,New York,1098272,14119047,0.077786553,208,1189,0.174936922,1098766,14768694,0.074398318,216,1326,0.162895928,1041376,14857620,0.070090364,205,1396,0.14684813800000002,1032622,15051925,0.068603983,224,1409,0.158977999,994358,15092255,0.065885317,192,1417,0.13549753,951890,15055513,0.063225345,214,1547,0.138332256,917741,15160932,0.06053328400000001,244,1557,0.156711625
32,North Carolina,723831,6240503,0.11598920800000001,225,1009,0.222993062,752508,6625708,0.113573976,200,1106,0.180831826,734260,6773333,0.10840453300000001,229,1077,0.212627669,746259,6879572,0.10847462599999999,238,1162,0.204819277,731015,6996408,0.10448433,249,1174,0.21209539999999996,726084,7190151,0.10098313699999999,222,1174,0.189097104,740470,7285172,0.10164070300000001,207,1171,0.17677199
