state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
Hawaii,116793,917646,0.12727457,15,107,0.140186916,117468,950715,0.123557533,21,120,0.175,124261,960064,0.129429913,21,133,0.157894737,106372,959788,0.110828641,20,133,0.15037594,106310,958760,0.110882807,25,175,0.142857143,117301,1025770,0.114354095,31,207,0.149758454,109218,1034113,0.10561515,27,207,0.130434783
Idaho,132844,1019061,0.130359223,65,228,0.285087719,133128,1066418,0.124836603,53,222,0.238738739,131795,1088296,0.121102163,48,223,0.215246637,135394,1105360,0.122488601,75,252,0.297619048,122552,1121706,0.10925501,66,304,0.217105263,125328,1139751,0.10996086,70,290,0.24137931,121382,1155068,0.105086454,68,290,0.234482759
Illinois,853338,9197524,0.0927791,219,1086,0.201657459,845481,9597260,0.088096082,186,1010,0.184158416,803229,9636981,0.083348613,183,1108,0.165162455,782182,9701259,0.080626855,229,1198,0.19115192,772410,9716887,0.079491508,199,1177,0.169073917,751492,9708301,0.077407159,200,1178,0.169779287,719528,9752324,0.073780157,191,1183,0.161453931
Indiana,505259,4496185,0.112375047,112,745,0.15033557,513266,4728420,0.108549156,108,824,0.131067961,491684,4754575,0.103412818,101,790,0.127848101,486149,4787570,0.101543998,184,809,0.227441286,471717,4830620,0.09765144,150,828,0.18115942,469627,4880691,0.096221416,165,864,0.190972222,458943,4915722,0.093362277,164,861,0.19047619
Iowa,249911,2192545,0.113982153,70,333,0.21021021,253158,2265619,0.111738999,63,334,0.188622754,250852,2274820,0.11027334,63,322,0.195652174,245912,2290057,0.10738248,74,380,0.194736842,234659,2296177,0.102195519,71,361,0.1966759,233244,2323493,0.100385067,71,372,0.190860215,226737,2336891,0.097025064,83,370,0.224324324
Kansas,238506,1981969,0.120337906,86,362,0.237569061,234507,2053186,0.11421615,94,379,0.248021108,231387,2067370,0.111923362,88,382,0.230366492,231810,2084264,0.111219116,74,337,0.21958457,218993,2099260,0.104319141,93,382,0.243455497,215780,2118586,0.101850952,81,401,0.201995012,210240,2132796,0.098574829,72,400,0.18
Kentucky,341752,3073085,0.111208118,44,566,0.077738516,340830,3192332,0.106765211,34,622,0.054662379,335093,3220471,0.104050929,44,649,0.06779661,329768,3242747,0.101694027,51,612,0.083333333,319199,3275369,0.097454363,104,592,0.175675676,317278,3295944,0.096263165,104,631,0.16481775,311073,3330313,0.093406536,124,641,0.193447738
Louisiana,337822,3234969,0.104428203,101,505,0.2,324880,3183547,0.102049695,81,492,0.164634146,315184,3199922,0.098497401,91,522,0.174329502,304756,3287010,0.092715264,97,532,0.182330827,315813,3351308,0.094235743,92,490,0.187755102,312187,3410467,0.091537904,125,557,0.224416517,312953,3442258,0.090915033,106,564,0.187943262
Maine,145352,1003350,0.144866697,49,175,0.28,142205,1035232,0.137365344,43,158,0.272151899,142506,1034884,0.13770239,39,191,0.204188482,136533,1038090,0.131523278,44,181,0.243093923,132238,1043178,0.12676456,45,197,0.228426396,128123,1051795,0.121813661,46,186,0.247311828,128940,1056250,0.122073373,30,198,0.151515152
Maryland,480654,4038360,0.119022078,105,472,0.222457627,475371,4230839,0.112358565,91,495,0.183838384,461184,4232439,0.108964122,76,518,0.146718147,445742,4265690,0.104494701,92,507,0.181459566,438707,4313424,0.101707368,97,551,0.176043557,429774,4404995,0.09756515,85,502,0.169322709,425963,4457846,0.095553548,90,504,0.178571429
