,vet_pop_2005,vet_pop_2006,vet_pop_2007,vet_pop_2008,vet_pop_2009,vet_pop_2010,vet_pop_2011
total vet pop,23395625,23385712,22858375,22393289,21821680,21767567,21428708
va enrolled vets,6529940,7078967,6229000,6785563,6803275,7078792,7376757
